OID_,Shape_Leng,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp100,BtHWp1000,TPBtHWp100,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,x,y,z,OBJECTID,Shape_Le_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1
0,52.181995252400000,10,38.5708008,28.0151005,275.0000000,1.0000000,2.2500000,5.0000000,62.3917007,1.0000000,88.2680969,1.1726201,124.2979965,84.7462006,84.7462006,122.2570038,33.4772987,799263.0000000,223.7769928,202.5149994,40.0000000,1569.2800293,1430.4499512,3084.0000000,29.0000000,92.0000000,136.5820007,98.5019989,1.4544801,54254.6015625,994.7630005,246.7640076,154.7469940,1.4514199,196.6049957,46.3945999,1735560.0000000,267.0379944,268.2609863,224.0000000,13964.0996094,9574.4697266,6428.0000000,145.0000000,461.0000000,194.5729980,117.5250015,1.7117800,1117910.0000000,4122.2998047,908.2399902,300.7160034,1.2096500,489.5050049,99.6331024,9756520.0000000,222.1510010,166.3049927,692.0000000,36226.0000000,24657.0000000,35774.0000000,428.0000000,1375.0000000,967.1619873,607.9489746,1.6147300,2465700.0000000,6252.4501953,1605.9100342,309.6390076,1.2616800,663.2119751,301.8280029,49016800.0000000,213.9629974,148.4889984,1389.0000000,61866.6992188,52069.6015625,177974.0000000,835.0000000,2669.0000000,1189.8699951,732.2490234,1.6288199,3756300.0000000,7130.8100586,1667.9799805,330.4710083,1.0772300,787.9019775,528.6909790,105605000.0000000,266.4259949,251.7290039,2168.0000000,88555.0000000,86740.3984375,380874.0000000,1220.0000000,3895.0000000,1355.4100342,790.7930298,1.6996599,4411770.0000000,7624.0498047,1697.1700439,329.2229919,1.0484500,958.2609863,718.7059937,171072000.0000000,278.9159851,275.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1703.0699463,878.9589844,1.9126400,5539380.0000000,8738.8603516,1710.6899414,347.5289917,1.0970800,240003505,0.0000000,0.0000000,0.0000000,10,0.000000000000000,0, ,0.0000000,0.0000000,0.0000000,0.0000000,1.2500000,1.0000000,0.0000000
1,50.163834275299998,20,38.5537987,38.5537987,470.0000000,0.0000000,2.0000000,2.0000000,50.1637993,1.0000000,89.8476028,1.0964600,297.2080078,70.0056992,70.0056992,92.4550018,33.7631989,736333.0000000,391.6669922,470.0000000,7.0000000,122.9029999,224.6759949,1880.0000000,4.0000000,12.0000000,37.2696991,16.6130009,2.5193300,456.1929932,107.4830017,45.9944992,291.3580017,2.0152299,181.7619934,36.3716011,1178130.0000000,427.5690002,489.5830078,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,40.6815987,15.9343004,2.7658701,456.1929932,107.4830017,45.9944992,291.3580017,2.0152299,181.7619934,36.3716011,1178130.0000000,417.7780151,470.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,40.6815987,15.9343004,2.7658701,456.1929932,107.4830017,45.9944992,291.3580017,2.0152299,181.7619934,36.3716011,1178130.0000000,417.7780151,470.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,40.6815987,15.9343004,2.7658701,456.1929932,107.4830017,45.9944992,291.3580017,2.0152299,181.7619934,36.3716011,1178130.0000000,417.7780151,470.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,40.6815987,15.9343004,2.7658701,456.1929932,107.4830017,45.9944992,291.3580017,2.0152299,181.7619934,36.3716011,1178130.0000000,417.7780151,470.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,40.6815987,15.9343004,2.7658701,456.1929932,107.4830017,45.9944992,291.3580017,2.0152299,0,0.0000000,0.0000000,0.0000000,20,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,1.0000000,0.0000000
2,29.007454836299999,559,38.5844994,38.5844994,40.0000000,0.0000000,0.7500000,5.0000000,29.0074997,1.0000000,95.9775009,1.1082400,123.2229996,23.4347000,23.4347000,126.5329971,35.3704987,335773.0000000,97.6453018,32.1162987,45.0000000,1481.1099854,2579.9699707,3283.0000000,27.0000000,86.0000000,146.9519958,106.3860016,1.4306999,44629.3984375,832.8259888,219.2160034,229.6369934,1.2367400,195.6770020,47.1777992,749873.0000000,116.0250015,38.9936981,175.0000000,9548.1503906,8486.9804688,6380.0000000,108.0000000,341.0000000,221.5090027,134.5330048,1.6190799,646512.0000000,3226.0900879,645.1320190,89.6356964,1.2810500,343.2950134,54.9045982,1072450.0000000,88.8303986,20.5429001,506.0000000,27040.6992188,17536.0996094,10701.0000000,327.0000000,1045.0000000,599.4290161,338.3900146,1.7016701,1808210.0000000,5393.4501953,1268.5899658,299.7590027,1.2801900,693.7559814,218.1089935,13202600.0000000,80.6004028,15.8878002,1128.0000000,53652.3007812,40774.8007812,128392.0000000,693.0000000,2223.0000000,1345.8399658,713.2030029,1.8808900,3186750.0000000,6676.9902344,1630.1500244,306.3070068,1.1132801,826.5189819,428.3280029,35703300.0000000,101.4219971,29.8526993,1973.0000000,81851.1015625,76054.6015625,320086.0000000,1144.0000000,3657.0000000,1510.8399658,785.9689941,1.9118400,4291740.0000000,7493.2900391,1676.8699951,325.0809937,1.0411201,1030.2500000,666.4660034,73586896.0000000,119.9759979,40.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1901.0300293,902.1420288,2.0763800,5539380.0000000,8738.8603516,1676.8699951,325.0809937,1.0970800,0,0.0000000,0.0000000,0.0000000,559,0.000000000000000,0,no_73,0.0000000,0.0000000,0.0000000,0.0000000,0.2500000,0.5000000,0.0000000
3,14.511553422900000,564,38.5844994,38.6010017,40.0000000,0.0000000,0.7500000,4.0000000,14.5115995,1.0000000,20.1147995,1.0149601,185.5130005,6.4939899,6.4924402,109.3369980,63.7947006,1179780.0000000,315.5390015,40.2229996,66.0000000,2053.3000488,3013.5100098,3890.0000000,47.0000000,149.0000000,145.4400024,102.3679962,1.4389700,60891.5000000,964.0469971,236.3390045,205.7310028,1.2145900,161.9600067,74.3771973,2215160.0000000,347.5690002,39.1290016,210.0000000,11635.9003906,9146.1298828,6415.0000000,137.0000000,435.0000000,200.6900024,125.4580002,1.5673500,849038.0000000,3608.8601074,796.2769775,294.8599854,1.2206800,467.3210144,113.7490005,3891510.0000000,196.4960022,23.2996006,651.0000000,33931.5000000,23411.6992188,28262.0000000,405.0000000,1300.0000000,1094.3399658,577.7630005,1.8359100,2222000.0000000,6072.4399414,1617.9499512,305.6010132,1.3206000,669.0079956,310.5820007,28283000.0000000,153.5209961,20.4146004,1328.0000000,59461.8007812,49378.8007812,167272.0000000,802.0000000,2564.0000000,1411.8000488,720.8800049,1.9501700,3687600.0000000,7064.6699219,1651.3499756,315.0199890,1.0770400,796.6530151,535.4370117,67060400.0000000,181.6790009,35.3230019,2138.0000000,86984.0000000,84727.7031250,369502.0000000,1212.0000000,3870.0000000,1578.4499512,788.5819702,1.9881500,4411770.0000000,7624.0498047,1670.1899414,325.4460144,1.0484500,973.7180176,734.2310181,124984000.0000000,203.7740021,40.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1937.5799561,893.1099854,2.1397099,5539380.0000000,8738.8603516,1670.1899414,325.4460144,1.0970800,0,0.0000000,0.0000000,0.0000000,564,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,0.2500000,0.5000000,0.0000000
4,22.740534197700001,590,38.5681992,26.2040005,1.0000000,0.0000000,0.5000000,2.0000000,28.8054008,1.0000000,206.6360016,1.1172200,122.2529984,29.4400997,30.2127991,153.9750061,19.1618004,2735.3300781,0.8207050,0.6418980,45.0000000,1437.0999756,2500.3601074,2736.0000000,32.0000000,102.0000000,183.8229980,127.5029984,1.4716800,42944.0000000,858.6049805,215.8809967,332.1400146,1.3660700,225.8750000,32.5191002,6387.8300781,0.9870150,0.9742390,185.0000000,10151.7001953,8344.2695312,6389.0000000,116.0000000,366.0000000,242.0959930,140.0509949,1.9376100,768387.0000000,3371.6101074,721.6450195,80.4213028,1.1772900,421.0840149,47.0205994,14654.2998047,0.7645590,0.5292090,538.0000000,28804.3007812,19187.4003906,14655.0000000,340.0000000,1086.0000000,858.5189819,453.9909973,1.9290200,1819240.0000000,5394.6899414,1269.1400146,305.4630127,1.2730100,690.3350220,214.0820007,134931.0000000,0.7094050,0.4188200,1165.0000000,55241.6992188,42800.8984375,134787.0000000,709.0000000,2271.0000000,1433.6300049,747.0029907,1.9244601,3504600.0000000,7013.3701172,1665.0899658,329.1979980,1.1168801,822.1149902,428.6740112,329995.0000000,0.8873810,0.7747670,2020.0000000,83482.0000000,78527.2031250,329996.0000000,1167.0000000,3729.0000000,1603.3299561,813.0989990,1.9658800,4294490.0000000,7494.4702148,1729.5500488,328.9400024,1.0407799,1020.0999756,658.9489746,613345.0000000,0.9999990,1.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1984.7199707,907.7199707,2.1740799,5539380.0000000,8738.8603516,1738.8199463,346.9249878,1.0970800,0,0.0000000,0.0000000,0.0000000,590,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.5000000,0.0000000
5,49.831299600000001,603,38.5811005,38.5681992,40.0000000,0.0000000,0.7500000,5.0000000,49.8312988,1.0000000,175.5980072,1.3884799,350.9530029,42.2681007,42.2692986,133.9429932,34.2621994,662835.0000000,206.1150055,35.0821991,72.0000000,2537.6899414,3484.8999023,3505.0000000,51.0000000,162.0000000,203.3190002,142.8119965,1.4547600,73728.7031250,1113.8499756,233.6369934,335.0769958,1.3390900,191.4360046,45.7251015,1765470.0000000,271.8330078,39.2701988,233.0000000,14570.9003906,10497.5000000,6438.0000000,146.0000000,463.0000000,252.9490051,147.4770050,1.9307100,1082290.0000000,3942.4199219,815.8150024,303.9349976,1.1428000,487.3160095,93.5785980,2840820.0000000,121.4010010,23.9813995,682.0000000,36454.3007812,25506.5996094,33070.0000000,414.0000000,1328.0000000,1030.5899658,628.2880249,1.6971999,2365170.0000000,6181.6601562,1634.0699463,310.4790039,1.2856899,666.3660278,288.5679932,8376350.0000000,43.9771996,20.9601002,1362.0000000,61087.8007812,50193.8984375,170716.0000000,826.0000000,2642.0000000,1272.3199463,762.2199707,1.6797000,3690390.0000000,7065.8701172,1689.5799561,319.6159973,1.0765899,791.5189819,512.3709717,16401700.0000000,42.6921997,35.4856987,2149.0000000,88106.3984375,86174.1015625,371101.0000000,1215.0000000,3879.0000000,1431.7299805,817.6879883,1.7427700,4411770.0000000,7624.0498047,1733.4799805,354.2470093,1.0484500,967.4479980,710.6569824,26095600.0000000,42.5461998,40.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1789.8699951,903.1469727,1.9668800,5539380.0000000,8738.8603516,1747.4599609,347.5840149,1.0970800,0,0.0000000,0.0000000,0.0000000,603,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,0.2500000,0.5000000,0.0000000
6,33.958149348100001,607,38.5980988,38.5980988,40.0000000,0.0000000,0.7500000,4.0000000,33.9580994,1.0000000,0.0000000,1.0000000,302.6820068,6.3671498,6.3671498,112.3580017,110.6439972,2330750.0000000,564.7969971,55.3628006,70.0000000,2371.6201172,3227.5700684,5572.0000000,47.0000000,149.0000000,101.7819977,77.6225967,1.3017100,68030.2031250,1046.6400146,300.2650146,163.0549927,1.2813900,129.8780060,114.2990036,4385240.0000000,683.1380005,39.2202988,231.0000000,14624.9003906,10422.2001953,6436.0000000,145.0000000,460.0000000,127.1719971,87.4580002,1.3820900,1117910.0000000,4122.2998047,892.4500122,296.5899963,1.2096500,477.6549988,164.2279968,9056590.0000000,356.4159851,23.9130001,680.0000000,35352.8007812,24532.6992188,34194.0000000,418.0000000,1342.0000000,993.8679810,570.7789917,1.6840000,2340270.0000000,6172.3901367,1579.2299805,307.4410095,1.2954800,662.9390259,359.7080078,36654100.0000000,180.8260040,21.0158005,1363.0000000,60926.8984375,50879.6015625,172095.0000000,825.0000000,2638.0000000,1242.5899658,693.8800049,1.7786200,3687600.0000000,7064.6699219,1621.6300049,317.0159912,1.0770400,789.3239746,584.3690186,76885800.0000000,198.6239929,36.0251999,2151.0000000,88117.0000000,86174.1015625,373104.0000000,1217.0000000,3885.0000000,1405.2199707,757.8709717,1.8346500,4411770.0000000,7624.0498047,1651.3399658,327.5660095,1.0484500,964.5260010,781.0289917,126043000.0000000,205.5010071,40.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1761.9599609,857.4320068,2.0201001,5539380.0000000,8738.8603516,1651.8199463,346.4639893,1.0970800,0,0.0000000,0.0000000,0.0000000,607,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,0.2500000,0.5000000,0.0000000
7,51.432488201799998,630,38.5824013,28.0407009,235.0000000,0.0000000,1.2500000,5.0000000,54.2756996,1.0000000,170.2310028,1.0342700,291.6919861,70.1592026,71.8062973,114.4309998,68.8592987,4440870.0000000,1015.9199829,336.8250122,61.0000000,2122.2299805,2953.6799316,5524.0000000,39.0000000,124.0000000,86.7136002,58.5075989,1.5171300,63267.5000000,1000.5499878,322.5920105,157.3410034,1.2591701,131.2630005,72.7694016,11364600.0000000,1752.4000244,229.2169952,212.0000000,12734.5000000,9274.0996094,6416.0000000,138.0000000,438.0000000,112.1409988,64.9276962,1.6803600,1008940.0000000,3857.2199707,781.3159790,90.4313965,1.1734800,461.1619873,112.0619965,20767700.0000000,1306.6400146,135.8059998,649.0000000,33830.8007812,22901.9003906,28261.0000000,407.0000000,1306.0000000,949.3750000,487.3800049,1.8982199,2295830.0000000,6165.6201172,1512.4899902,308.0079956,1.3176600,668.0599976,307.3859863,265367008.0000000,2244.4199219,119.8069992,1330.0000000,60248.3007812,49186.3984375,166296.0000000,807.0000000,2579.0000000,1252.5600586,634.9340210,1.9664500,3687600.0000000,7064.6699219,1558.4499512,317.9679871,1.0770400,797.0729980,533.0700073,925052992.0000000,3014.4199219,206.8099976,2136.0000000,87970.1015625,86056.1015625,369373.0000000,1213.0000000,3873.0000000,1417.8100586,698.4140015,2.0164199,4411770.0000000,7624.0498047,1600.0500488,355.6099854,1.0484500,974.4290161,731.8209839,2436859904.0000000,3973.0500488,235.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1776.3800049,800.8959961,2.1896701,5539380.0000000,8738.8603516,1619.8100586,197.6860046,1.0970800,0,0.0000000,0.0000000,0.0000000,630,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,0.2500000,1.0000000,0.0000000
8,6.641165802360000,2527,38.5537987,38.5537987,235.0000000,0.0000000,1.0000000,4.0000000,6.6411700,1.0000000,0.0000000,1.0000000,215.9880066,1.6602900,1.6602900,53.8470001,471.0690002,1509480.0000000,802.9169922,235.0000000,7.0000000,122.9029999,224.6759949,1880.0000000,4.0000000,12.0000000,19.1648006,15.6887999,1.2112900,456.1929932,107.4830017,59.5330009,301.3569946,2.0152299,139.5579987,474.0910034,3718480.0000000,1343.0899658,244.7920074,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,21.3579998,15.5763998,1.3665200,456.1929932,107.4830017,59.5330009,301.3569946,2.0152299,139.5579987,474.0910034,3939380.0000000,1396.9399414,235.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,21.3579998,15.5763998,1.3665200,456.1929932,107.4830017,59.5330009,301.3569946,2.0152299,139.5579987,474.0910034,3939380.0000000,1396.9399414,235.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,21.3579998,15.5763998,1.3665200,456.1929932,107.4830017,59.5330009,301.3569946,2.0152299,139.5579987,474.0910034,3939380.0000000,1396.9399414,235.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,21.3579998,15.5763998,1.3665200,456.1929932,107.4830017,59.5330009,301.3569946,2.0152299,139.5579987,474.0910034,3939380.0000000,1396.9399414,235.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,21.3579998,15.5763998,1.3665200,456.1929932,107.4830017,59.5330009,301.3569946,2.0152299,0,0.0000000,0.0000000,0.0000000,2527,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,0.5000000,0.5000000,0.0000000
9,15.066347064700000,2528,38.5824013,38.5774994,235.0000000,0.0000000,1.2500000,2.0000000,15.0663004,1.0000000,0.0000000,1.0000000,16.2966995,4.7082300,4.7090001,127.7429962,182.1569977,900363.0000000,223.5119934,230.4880066,47.0000000,1399.7700195,2035.4399414,3988.0000000,33.0000000,105.0000000,79.9069977,55.2471008,1.4916101,31512.1992188,711.3239746,221.9649963,181.3000031,1.2777500,169.4010010,192.3580017,1464010.0000000,225.9010010,228.3309937,183.0000000,9771.9501953,8267.6796875,6387.0000000,120.0000000,379.0000000,110.2949982,64.4420013,1.6839200,672141.0000000,3322.7700195,753.7930298,90.2895966,1.3071600,445.4079895,217.5410004,4820160.0000000,180.1170044,128.7960052,573.0000000,30859.0000000,20562.5996094,20669.0000000,365.0000000,1169.0000000,835.1510010,449.8129883,1.8125800,2142920.0000000,6063.6298828,1535.5500488,307.4360046,1.3653600,681.7620239,395.2760010,34715300.0000000,171.1580048,107.8140030,1229.0000000,57595.1015625,45915.8007812,148006.0000000,736.0000000,2358.0000000,1218.0000000,643.7459717,1.8869400,3681390.0000000,7061.9399414,1578.5500488,317.2749939,1.0780200,814.1389771,616.9949951,81938600.0000000,214.4570007,194.1250000,2070.0000000,86554.7968750,82050.7031250,349383.0000000,1192.0000000,3805.0000000,1392.8299561,714.7189941,1.9338500,4411770.0000000,7624.0498047,1610.3399658,328.0969849,1.0484500,1002.2000122,831.0469971,144099008.0000000,234.9400024,235.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1756.9899902,820.5319824,2.1094999,5539380.0000000,8738.8603516,1626.4300537,198.6340027,1.0970800,0,0.0000000,0.0000000,0.0000000,2528,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,0.2500000,1.0000000,0.0000000
